model,MAE,RMSE,R2
LSTM,25.770612716674805,43.909680693370454,0.8264040946960449
GRU,27.11204719543457,44.390998986456985,0.8225774765014648
MLP,33.11277770996094,60.70489460097616,0.6682077646255493
